size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
14238,10000,0,0,0.064664,0.064672,0.064672,0.064631,0.064645,0.064635,0.010707,0.010896,0.010717,0.010707,0.01075,0.010691,0,0,0,0,0,0,100
14238,10000,0,0,0.038198,0.038184,0.038219,0.038206,0.038169,0.038197,0.010653,0.010712,0.010685,0.010691,0.010839,0.010763,0,0,0,0,0,0,50
14238,10000,0,1,0.065065,0.065061,0.065095,0.065066,0.06509,0.065059,0.010435,0.010454,0.010495,0.010777,0.01043,0.010449,0,0,0,0,0,0,100
14238,10000,0,1,0.038658,0.038708,0.038668,0.038678,0.038664,0.038678,0.010473,0.010689,0.010429,0.010433,0.010432,0.010507,0,0,0,0,0,0,50
14238,10000,1,0,0.065586,0.065543,0.065573,0.065541,0.065523,0.065523,0.009741,0.009701,0.009684,0.009692,0.010181,0.009705,0,0,0,0,0,0,100
14238,10000,1,0,0.03794,0.037942,0.037927,0.037964,0.037987,0.037945,0.009922,0.009671,0.009681,0.009645,0.009679,0.009665,0,0,0,0,0,0,50
14238,10000,1,1,0.065025,0.065076,0.065032,0.065124,0.065034,0.064995,0.007682,0.007722,0.007653,0.007798,0.007726,0.007604,0,0,0,0,0,0,100
14238,10000,1,1,0.038314,0.038318,0.038356,0.038349,0.038342,0.038312,0.007637,0.007789,0.008414,0.007633,0.007679,0.00764,0,0,0,0,0,0,50
14238,10000,2,0,0.064908,0.064856,0.064814,0.064854,0.064897,0.06485,0.010717,0.010776,0.010741,0.010753,0.010725,0.010701,0,0,0,0,0,0,100
14238,10000,2,0,0.038709,0.038714,0.038737,0.038714,0.038711,0.038685,0.010723,0.010823,0.010728,0.010771,0.010753,0.01077,0,0,0,0,0,0,50
14238,10000,2,1,0.065553,0.065589,0.065635,0.065545,0.06555,0.065682,0.010416,0.010402,0.010379,0.010359,0.010414,0.010372,0,0,0,0,0,0,100
14238,10000,2,1,0.038314,0.03833,0.038328,0.038372,0.038328,0.03834,0.010427,0.010402,0.010387,0.010383,0.010429,0.010395,0,0,0,0,0,0,50
16017,10000,0,0,0.07297,0.073005,0.072968,0.073005,0.072987,0.072963,0.012694,0.012014,0.012166,0.012038,0.012089,0.012026,0,0,0,0,0,0,100
16017,10000,0,0,0.042579,0.042621,0.042623,0.042583,0.042581,0.042543,0.012073,0.012035,0.012033,0.012054,0.012053,0.01204,0,0,0,0,0,0,50
16017,10000,0,1,0.073957,0.073999,0.074008,0.07407,0.073979,0.074118,0.01206,0.011698,0.011748,0.011725,0.011825,0.011775,0,0,0,0,0,0,100
16017,10000,0,1,0.042973,0.042935,0.04295,0.042946,0.042919,0.042909,0.011729,0.011743,0.011699,0.011728,0.011703,0.011715,0,0,0,0,0,0,50
16017,10000,1,0,0.07264,0.072599,0.072636,0.072595,0.072588,0.072589,0.01088,0.010902,0.010889,0.010879,0.0109,0.011032,0,0,0,0,0,0,100
16017,10000,1,0,0.043346,0.043306,0.043302,0.043304,0.043323,0.043292,0.010887,0.010904,0.010956,0.010897,0.011055,0.010889,0,0,0,0,0,0,50
16017,10000,1,1,0.073522,0.073447,0.073534,0.073551,0.073453,0.073528,0.008906,0.008646,0.008547,0.008667,0.008724,0.008602,0,0,0,0,0,0,100
16017,10000,1,1,0.042111,0.042148,0.042109,0.042139,0.042107,0.042128,0.008584,0.008577,0.009014,0.008599,0.008663,0.008601,0,0,0,0,0,0,50
16017,10000,2,0,0.072693,0.072696,0.072657,0.072677,0.072741,0.072679,0.012038,0.012576,0.012091,0.012056,0.012016,0.012015,0,0,0,0,0,0,100
16017,10000,2,0,0.042475,0.042454,0.042437,0.042497,0.042502,0.042453,0.012377,0.012118,0.01209,0.012029,0.012034,0.01203,0,0,0,0,0,0,50
16017,10000,2,1,0.073281,0.073334,0.073301,0.07332,0.073294,0.073349,0.011664,0.011802,0.011871,0.01175,0.011688,0.011718,0,0,0,0,0,0,100
16017,10000,2,1,0.043007,0.043054,0.043027,0.043023,0.043019,0.043046,0.011675,0.011751,0.011658,0.011727,0.011703,0.011654,0,0,0,0,0,0,50
18019,10000,0,0,0.082066,0.082058,0.082065,0.082092,0.082096,0.082106,0.013596,0.013677,0.013635,0.013624,0.01383,0.013616,0,0,0,0,0,0,100
18019,10000,0,0,0.047154,0.047211,0.047204,0.047162,0.047118,0.047174,0.013646,0.01368,0.013612,0.01361,0.013646,0.0136,0,0,0,0,0,0,50
18019,10000,0,1,0.082245,0.082208,0.082237,0.082284,0.08228,0.082238,0.013236,0.013242,0.013246,0.013301,0.013254,0.013268,0,0,0,0,0,0,100
18019,10000,0,1,0.046665,0.046667,0.046666,0.046633,0.046626,0.046685,0.013274,0.013305,0.013243,0.013317,0.013272,0.013294,0,0,0,0,0,0,50
