size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.865468,1.09114,0.809045,0.960166,0.929577,0.87658,0.040299,0.034022,0.033717,0.04526,0.045391,0.028907,143535,144200,143360,143780,143710,143360,100
10000,10000,0,1,0.574614,0.640565,0.536342,0.832736,0.668558,0.463989,0.034908,0.036862,0.04091,0.041454,0.045361,0.039383,299357,158340,299008,211490,295609,299008,50
10000,10000,1,0,0.991792,1.02525,0.830929,1.49996,1.20657,0.810303,0.038437,0.039545,0.035026,0.038841,0.040987,0.036737,143542,144200,143360,105296,117374,143360,100
10000,10000,1,1,0.581466,0.688628,0.554682,0.93685,0.714258,0.57345,0.035031,0.03157,0.034334,0.04095,0.036258,0.03093,299346,11936,584,106147,150835,299008,50
10000,10000,2,0,0.931331,1.15817,0.91554,1.40203,1.20395,0.891976,0.044196,0.040484,0.034793,0.045728,0.048264,0.03907,143535,144200,143360,142994,143498,143360,100
10000,10000,2,1,0.719307,0.767359,0.580021,0.991327,0.813318,0.578935,0.044926,0.043857,0.038397,0.048819,0.050413,0.036633,299372,154928,299008,206873,285173,299008,50
10000,10000,0,0,1.02269,1.34343,1.0218,1.09535,1.13171,1.01399,0.044954,0.04725,0.037455,0.049687,0.043102,0.041209,143535,144200,143360,143780,143710,143360,100
10000,10000,0,1,0.687177,0.750841,0.655821,0.843206,0.73447,0.611148,0.055603,0.041283,0.041249,0.048447,0.046279,0.038787,299364,158340,299008,211391,295540,299008,50
10000,10000,1,0,0.993669,1.27588,0.902007,1.45222,1.43599,0.975849,0.040734,0.041774,0.037757,0.04506,0.042333,0.041156,143529,144200,143360,105292,117449,143360,100
10000,10000,1,1,0.688886,0.742591,0.559405,0.881254,0.647704,0.651921,0.053601,0.034946,0.036169,0.043392,0.040398,0.03508,299282,11936,584,106147,150835,299008,50
10000,10000,2,0,1.11447,1.15524,0.936814,1.382,1.14765,0.976779,0.044204,0.049758,0.043692,0.052684,0.049818,0.046946,143527,144200,143360,143021,143570,143360,100
10000,10000,2,1,0.615341,0.830433,0.642112,0.845766,0.696065,0.599672,0.054659,0.048966,0.041683,0.05235,0.045016,0.041577,299354,155232,299008,206888,285105,299008,50
11250,10000,0,0,1.0952,1.15601,1.04436,1.36617,1.33014,1.04015,0.104215,0.087581,0.081367,0.090238,0.0952,0.091081,233736,234840,233472,233389,234042,233472,100
11250,10000,0,0,0.69731,0.843964,0.602345,0.77779,0.847776,0.530955,0.1069,0.101051,0.080228,0.092146,0.117481,0.082542,307575,309000,307200,307365,307950,307200,50
11250,10000,0,1,1.04644,1.16485,0.972791,1.56967,1.14951,1.041,0.081886,0.083861,0.080842,0.09774,0.098457,0.097945,233757,123200,233472,164791,229896,233472,100
11250,10000,0,1,0.618928,0.740582,0.609332,0.832869,0.683402,0.588103,0.091528,0.092511,0.075507,0.106475,0.114834,0.097256,307556,162428,307200,217244,303668,307200,50
11250,10000,1,0,1.05292,1.15775,1.01394,1.39207,1.25341,1.06984,0.082379,0.083799,0.082699,0.106467,0.096282,0.090924,233745,234840,233472,171513,191295,233472,100
11250,10000,1,0,0.590815,0.750046,0.543375,0.772,0.871406,0.540427,0.100779,0.091614,0.086992,0.103399,0.09424,0.077221,307538,309000,307200,225678,251570,307200,50
11250,10000,1,1,1.01214,1.17147,1.08301,1.61175,1.35063,0.969826,0.088057,0.088774,0.073965,0.09114,0.077477,0.07634,233754,9312,456,82886,117699,233472,100
11250,10000,1,1,0.750912,0.73934,0.57453,0.818077,0.677937,0.516061,0.083288,0.090819,0.083624,0.086938,0.079346,0.076549,307527,12264,600,109055,154977,307200,50
11250,10000,2,0,1.09213,1.25821,1.12007,1.39547,1.14132,1.04229,0.091004,0.083845,0.080872,0.089626,0.087568,0.089493,233757,234840,233472,231197,232039,233472,100
11250,10000,2,0,0.647555,0.682008,0.596501,0.765621,0.657513,0.57806,0.092997,0.095181,0.079134,0.100765,0.092076,0.084051,307567,309000,307200,304752,305673,307200,50
11250,10000,2,1,1.06143,1.35278,1.10688,1.4078,1.3532,0.975736,0.087998,0.088678,0.082385,0.090833,0.090637,0.103027,233732,120300,233472,161096,221877,233472,100
11250,10000,2,1,0.603369,0.693302,0.60382,0.887165,0.797778,0.574393,0.082772,0.090222,0.079969,0.101644,0.106541,0.095211,307573,159716,307200,212636,293231,307200,50
12656,10000,0,0,1.13228,1.19957,1.09095,1.35329,1.13757,1.13705,0.091684,0.091295,0.082511,0.095923,0.095211,0.105124,246047,247200,245760,245728,246360,245760,100
12656,10000,0,0,0.613104,0.670048,0.633339,0.916405,0.776716,0.605797,0.089235,0.090402,0.092005,0.107814,0.097781,0.085898,336264,337840,335872,336123,336692,335872,50
12656,10000,0,1,1.10288,1.16349,1.06406,1.53034,1.18729,1.01929,0.094335,0.083197,0.092456,0.104552,0.094769,0.093265,246059,129972,245760,173580,242309,245760,100
12656,10000,0,1,0.657377,0.809113,0.658749,1.01151,0.718969,0.549484,0.111265,0.092142,0.08533,0.103407,0.092557,0.095415,336274,178060,335872,237612,332531,335872,50
12656,10000,1,0,1.03195,1.17734,0.979246,1.47206,1.46686,1.03299,0.088463,0.090663,0.079994,0.114028,0.089218,0.095729,246045,247200,245760,180485,201316,245760,100
12656,10000,1,0,0.602258,0.700583,0.534086,0.812221,0.846896,0.565186,0.100464,0.084503,0.08292,0.105815,0.095499,0.074563,336275,337840,335872,246702,275163,335872,50
12656,10000,1,1,1.01077,1.20368,1.09459,1.82493,1.30007,0.996815,0.080996,0.079378,0.074513,0.094202,0.08433,0.080951,246057,9804,480,87248,123912,245760,100
12656,10000,1,1,0.555706,0.631931,0.656973,0.822561,0.790412,0.597709,0.088823,0.086696,0.075714,0.105501,0.092068,0.079872,336219,13412,656,119229,169474,335872,50
12656,10000,2,0,1.04683,1.49664,1.07976,1.58287,1.24142,1.11443,0.08775,0.089715,0.083889,0.087953,0.090453,0.103509,246060,247200,245760,243541,244036,245760,100
12656,10000,2,0,0.690238,0.852767,0.589755,0.874888,0.720567,0.573992,0.087437,0.093848,0.080713,0.091836,0.10553,0.086789,336281,337840,335872,333337,334520,335872,50
12656,10000,2,1,1.08366,1.36338,1.11179,1.44309,1.35902,1.09308,0.092998,0.090384,0.088674,0.090637,0.096775,0.084278,246060,127476,245760,169819,233748,245760,100
12656,10000,2,1,0.660134,0.645344,0.583137,1.04786,0.761956,0.610913,0.089338,0.086972,0.084294,0.105892,0.112168,0.08338,336231,174776,335872,232735,321093,335872,50
