keyDistribution,valueDistribution,load_times,query_times,sizes,leniency
0,0,30.047,1.0165,23325160,1
0,0,29.8682,1.01291,23325160,1.3
0,0,30.0612,1.02005,23325160,1.6
0,0,29.9242,1.01678,23325160,1.9
0,0,30.0013,1.01595,23325160,2.2
0,0,29.9995,1.01324,23325160,2.5
0,0,30.0091,1.0148,23325160,2.8
0,0,29.9832,1.01487,23325160,3.1
0,0,29.8656,1.01323,23325160,3.4
0,0,29.9971,1.0153,23325160,3.7
0,0,30.0027,1.01534,23325160,4.0
0,1,29.9955,0.974843,10039444,1
0,1,29.8326,0.972394,10039444,1.3
0,1,29.8959,0.973655,10039444,1.6
0,1,29.8799,0.974263,10039444,1.9
0,1,29.8716,0.975957,10039444,2.2
0,1,29.9768,0.974922,10039444,2.5
0,1,29.8668,0.972421,10039444,2.8
0,1,30.1741,0.975274,10039444,3.1
0,1,29.9633,0.973153,10039444,3.4
0,1,30.0031,0.975466,10039444,3.7
0,1,29.8634,0.973535,10039444,4.0
1,0,28.5881,0.951345,19864199,1
1,0,28.6957,0.949208,19864199,1.3
1,0,28.7292,0.952083,19864199,1.6
1,0,28.5609,0.948971,19864199,1.9
1,0,28.6021,0.95031,19864199,2.2
1,0,28.5871,0.956153,19864199,2.5
1,0,28.6585,0.947934,19864199,2.8
1,0,28.6033,0.949347,19864199,3.1
1,0,28.6933,0.953099,19864199,3.4
1,0,28.6416,0.949992,19864199,3.7
1,0,28.6253,0.952582,19864199,4.0
1,1,27.0283,0.849314,1432,1
1,1,26.8997,0.853963,1432,1.3
1,1,26.986,0.853152,1432,1.6
1,1,27.0159,0.856727,1432,1.9
1,1,26.9243,0.852919,1432,2.2
1,1,26.9248,0.854511,1432,2.5
1,1,26.8597,0.854816,1432,2.8
1,1,26.9724,0.86259,1432,3.1
1,1,26.9135,0.859004,1432,3.4
1,1,26.9137,0.856395,1432,3.7
1,1,26.8724,0.860362,1432,4.0
2,0,29.9426,0.971645,23027590,1
2,0,29.907,0.971159,23027590,1.3
2,0,29.9927,0.97838,23027590,1.6
2,0,29.9349,0.977544,23027590,1.9
2,0,30.0463,0.974779,23027590,2.2
2,0,29.9982,0.973224,23027590,2.5
2,0,29.9956,0.974528,23027590,2.8
2,0,30.0363,0.976231,23027590,3.1
2,0,30.046,0.976677,23027590,3.4
2,0,29.9622,0.97278,23027590,3.7
2,0,29.9964,0.97311,23027590,4.0
2,1,30.0613,0.966313,9314496,1
2,1,29.8095,0.963665,9314496,1.3
2,1,29.9195,0.965399,9314496,1.6
2,1,29.8799,0.960816,9314496,1.9
2,1,29.9578,0.967443,9314496,2.2
2,1,29.9445,0.965347,9314496,2.5
2,1,29.8465,0.965371,9314496,2.8
2,1,29.8324,0.965982,9314496,3.1
2,1,29.9043,0.965441,9314496,3.4
2,1,29.9421,0.964988,9314496,3.7
2,1,29.8717,0.966212,9314496,4.0
