size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.034804,0.034764,0.034784,0.034754,0.034775,0.034792,0.00757,0.007587,0.007968,0.007581,0.007619,0.00756,0,0,0,0,0,0,100
10000,10000,0,1,0.021739,0.021819,0.021742,0.021773,0.021752,0.021942,0.007402,0.007399,0.007378,0.007455,0.007382,0.007335,0,0,0,0,0,0,50
10000,10000,1,0,0.034548,0.034501,0.034599,0.034504,0.034518,0.035352,0.006801,0.006909,0.006912,0.006813,0.006785,0.006819,0,0,0,0,0,0,100
10000,10000,1,1,0.021939,0.022006,0.021946,0.022265,0.02192,0.021938,0.005392,0.005368,0.005415,0.005609,0.005406,0.005364,0,0,0,0,0,0,50
10000,10000,2,0,0.03455,0.03461,0.034539,0.034579,0.034598,0.034621,0.007595,0.00759,0.007652,0.007583,0.007857,0.007614,0,0,0,0,0,0,100
10000,10000,2,1,0.021812,0.021878,0.021953,0.021794,0.021829,0.02181,0.00753,0.007404,0.007369,0.007365,0.00735,0.007342,0,0,0,0,0,0,50
10000,10000,0,0,0.034797,0.034741,0.034765,0.03475,0.035023,0.03475,0.00765,0.007716,0.007599,0.007672,0.007592,0.007546,0,0,0,0,0,0,100
10000,10000,0,1,0.022018,0.021905,0.021947,0.021936,0.022294,0.022058,0.007428,0.007456,0.007423,0.007383,0.007385,0.007386,0,0,0,0,0,0,50
10000,10000,1,0,0.034421,0.034415,0.034412,0.034383,0.034386,0.034387,0.006838,0.006915,0.006791,0.006936,0.006822,0.006895,0,0,0,0,0,0,100
10000,10000,1,1,0.021901,0.021879,0.021924,0.021928,0.021928,0.021902,0.005409,0.00543,0.005404,0.005434,0.00544,0.005421,0,0,0,0,0,0,50
10000,10000,2,0,0.034332,0.034367,0.03433,0.034338,0.034522,0.034395,0.007597,0.007693,0.007594,0.007576,0.007574,0.00756,0,0,0,0,0,0,100
10000,10000,2,1,0.021947,0.021962,0.021952,0.021989,0.021905,0.021933,0.007385,0.007376,0.007356,0.007401,0.007406,0.007322,0,0,0,0,0,0,50
11250,10000,0,0,0.03842,0.038385,0.039468,0.038543,0.03841,0.038358,0.008514,0.008663,0.008561,0.008558,0.008849,0.00856,0,0,0,0,0,0,100
11250,10000,0,0,0.024695,0.023949,0.024733,0.024016,0.023959,0.024106,0.008537,0.008846,0.008548,0.008543,0.008512,0.008501,0,0,0,0,0,0,50
11250,10000,0,1,0.039014,0.038999,0.03899,0.03902,0.038969,0.038993,0.008336,0.008306,0.008313,0.00831,0.008286,0.008309,0,0,0,0,0,0,100
11250,10000,0,1,0.024162,0.02481,0.024105,0.024168,0.024214,0.024125,0.008288,0.008418,0.008349,0.008394,0.008288,0.008471,0,0,0,0,0,0,50
11250,10000,1,0,0.038828,0.038832,0.038803,0.039107,0.038881,0.0388,0.007708,0.007696,0.007664,0.007663,0.007775,0.00772,0,0,0,0,0,0,100
11250,10000,1,0,0.024447,0.0243,0.02443,0.02433,0.024323,0.024341,0.007736,0.007652,0.00766,0.007658,0.007637,0.00771,0,0,0,0,0,0,50
11250,10000,1,1,0.038741,0.03841,0.038438,0.038441,0.03847,0.038429,0.00606,0.006079,0.006138,0.006033,0.006033,0.006073,0,0,0,0,0,0,100
11250,10000,1,1,0.024052,0.024042,0.024195,0.02406,0.024066,0.024024,0.006078,0.006079,0.006371,0.006041,0.006024,0.006127,0,0,0,0,0,0,50
11250,10000,2,0,0.038913,0.039051,0.038922,0.038907,0.039047,0.038923,0.008509,0.008531,0.008608,0.008532,0.008531,0.008537,0,0,0,0,0,0,100
11250,10000,2,0,0.023614,0.023799,0.023472,0.023651,0.023461,0.023909,0.008554,0.008575,0.008526,0.008509,0.008505,0.009092,0,0,0,0,0,0,50
