size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.046115,0.046108,0.046132,0.046107,0.04628,0.046149,0.00765,0.008299,0.007737,0.007637,0.007634,0.007612,0,0,0,0,0,1310720,100
10000,10000,0,1,0.02832,0.028336,0.028336,0.02834,0.028316,0.028349,0.00744,0.00744,0.007426,0.007414,0.007469,0.007429,0,0,0,0,0,0,50
10000,10000,1,0,0.045798,0.045814,0.045769,0.045818,0.045802,0.045753,0.006861,0.006842,0.006889,0.006854,0.006887,0.006857,0,0,0,0,0,0,100
10000,10000,1,1,0.028173,0.028162,0.028165,0.028193,0.028224,0.028179,0.005433,0.005409,0.005372,0.005377,0.005414,0.005387,0,0,0,0,0,0,50
10000,10000,2,0,0.046018,0.046018,0.046033,0.045991,0.04601,0.046025,0.007673,0.00765,0.007633,0.007648,0.007634,0.0076,0,0,0,0,0,0,100
10000,10000,2,1,0.028405,0.028398,0.028401,0.028408,0.028392,0.028442,0.007451,0.007541,0.007462,0.007432,0.00754,0.007429,0,0,0,0,0,0,50
10000,10000,0,0,0.046467,0.046099,0.046083,0.046153,0.046121,0.04612,0.007647,0.007631,0.007647,0.007647,0.00765,0.007594,0,0,0,0,0,0,100
10000,10000,0,1,0.029095,0.029087,0.029082,0.02907,0.02909,0.029089,0.007432,0.007432,0.007439,0.007435,0.007447,0.00743,0,0,0,0,0,0,50
10000,10000,1,0,0.04553,0.045602,0.045702,0.045523,0.045535,0.045534,0.0069,0.006917,0.00685,0.006863,0.007043,0.006899,0,0,0,0,0,0,100
10000,10000,1,1,0.028889,0.028915,0.028881,0.02891,0.028931,0.028871,0.005402,0.005431,0.005425,0.005468,0.005387,0.005853,0,0,0,0,0,0,50
10000,10000,2,0,0.04554,0.045553,0.045518,0.045514,0.045571,0.045526,0.007662,0.007663,0.007654,0.007695,0.007619,0.007609,0,0,0,0,0,0,100
