uncompressed_size,compressed_size,uncompressed_read,compressed_read,decompress_time,total_decompression,ratio
16384,16389,5.4e-05,2.5e-05,2.4e-05,4.9e-05,1.00031
32768,32773,6.4e-05,1.2e-05,4.3e-05,5.5e-05,1.00015
65536,65541,6e-05,6.1e-05,8.3e-05,0.000144,1.00008
131072,131080,5.1e-05,6.4e-05,9.5e-05,0.000159,1.00006
262144,262158,7.9e-05,0.000158,0.000187,0.000345,1.00005
524288,524312,0.000128,0.000287,0.000337,0.000624,1.00005
1048576,1048620,0.000211,0.00058,0.000688,0.001268,1.00004
