size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
14238,10000,0,0,0.049202,0.049199,0.049376,0.049339,0.049189,0.049206,0.01071,0.010785,0.010795,0.010746,0.01076,0.0108,0,0,0,0,0,0,100
14238,10000,0,0,0.028862,0.028964,0.028959,0.028821,0.028852,0.029204,0.010766,0.010726,0.010978,0.010682,0.010746,0.010779,0,0,0,0,0,0,50
14238,10000,0,1,0.049406,0.049673,0.049822,0.049395,0.049279,0.049028,0.010425,0.010453,0.010468,0.010461,0.010458,0.01046,0,0,0,0,0,0,100
14238,10000,0,1,0.028832,0.029212,0.029482,0.028846,0.029003,0.028808,0.010458,0.010439,0.010408,0.010471,0.011024,0.01045,0,0,0,0,0,0,50
14238,10000,1,0,0.050117,0.048642,0.048635,0.048668,0.048636,0.04866,0.009746,0.009697,0.00978,0.009901,0.009737,0.009736,0,0,0,0,0,0,100
14238,10000,1,0,0.030291,0.029601,0.029617,0.02972,0.030083,0.029647,0.009692,0.009764,0.009759,0.00968,0.00976,0.009839,0,0,0,0,0,0,50
14238,10000,1,1,0.049913,0.049861,0.050458,0.049825,0.049863,0.049862,0.007745,0.007722,0.007658,0.007696,0.007724,0.007671,0,0,0,0,0,0,100
14238,10000,1,1,0.029259,0.029393,0.029304,0.029279,0.029147,0.029317,0.007651,0.0077,0.007667,0.00767,0.007669,0.007687,0,0,0,0,0,0,50
14238,10000,2,0,0.049697,0.049731,0.049705,0.050129,0.049688,0.050133,0.010748,0.010797,0.010771,0.010745,0.010755,0.010726,0,0,0,0,0,0,100
14238,10000,2,0,0.029542,0.029703,0.029557,0.029506,0.029592,0.030029,0.010765,0.010745,0.010751,0.010772,0.01076,0.010773,0,0,0,0,0,0,50
14238,10000,2,1,0.049138,0.04895,0.048833,0.048848,0.04884,0.048836,0.010405,0.010444,0.010413,0.010479,0.010419,0.010512,0,0,0,0,0,0,100
14238,10000,2,1,0.029326,0.029265,0.029459,0.029553,0.029446,0.029693,0.010442,0.010425,0.010426,0.010392,0.010424,0.010404,0,0,0,0,0,0,50
16017,10000,0,0,0.055492,0.056049,0.054691,0.054914,0.054829,0.054678,0.012066,0.012078,0.012102,0.012116,0.012246,0.012305,0,0,0,0,0,0,100
16017,10000,0,0,0.032388,0.032645,0.03237,0.032683,0.0329,0.032623,0.012059,0.01211,0.012045,0.012253,0.012054,0.012065,0,0,0,0,0,0,50
16017,10000,0,1,0.055023,0.055372,0.055094,0.055578,0.054963,0.05595,0.011736,0.011746,0.011722,0.011723,0.011812,0.011751,0,0,0,0,0,0,100
16017,10000,0,1,0.032263,0.032153,0.031912,0.031842,0.031818,0.03168,0.011735,0.011767,0.011774,0.011764,0.011752,0.01172,0,0,0,0,0,0,50
16017,10000,1,0,0.055335,0.05524,0.055227,0.055235,0.055449,0.055637,0.01094,0.010919,0.010985,0.010917,0.010872,0.010941,0,0,0,0,0,0,100
16017,10000,1,0,0.032621,0.032124,0.032762,0.032854,0.033237,0.032093,0.010902,0.011599,0.010929,0.01094,0.010876,0.010982,0,0,0,0,0,0,50
16017,10000,1,1,0.057246,0.055793,0.055792,0.056488,0.055755,0.055756,0.008596,0.008582,0.008664,0.008676,0.008724,0.008605,0,0,0,0,0,0,100
16017,10000,1,1,0.03249,0.032298,0.032448,0.032312,0.032331,0.032915,0.008678,0.008623,0.008643,0.008658,0.008618,0.008602,0,0,0,0,0,0,50
16017,10000,2,0,0.055433,0.055393,0.055508,0.055383,0.061481,0.055384,0.012075,0.012095,0.012046,0.012063,0.012106,0.012071,0,0,0,0,0,0,100
16017,10000,2,0,0.03291,0.032508,0.032588,0.032968,0.032416,0.032363,0.012147,0.012103,0.012228,0.012127,0.012078,0.012123,0,0,0,0,0,0,50
16017,10000,2,1,0.055919,0.05581,0.055989,0.055421,0.05546,0.05542,0.011743,0.011709,0.011737,0.011684,0.011711,0.011691,0,0,0,0,0,0,100
16017,10000,2,1,0.032624,0.032275,0.03233,0.032303,0.032384,0.032352,0.012464,0.011737,0.011786,0.011722,0.011717,0.011707,0,0,0,0,0,0,50
18019,10000,0,0,0.062357,0.062589,0.062332,0.061925,0.06366,0.062167,0.013646,0.013685,0.013789,0.013647,0.013679,0.013654,0,0,0,0,0,0,100
18019,10000,0,0,0.036331,0.035362,0.036347,0.035606,0.035716,0.035485,0.013725,0.013706,0.013687,0.013648,0.013632,0.013631,0,0,0,0,0,0,50
18019,10000,0,1,0.062576,0.063299,0.06281,0.062552,0.06521,0.063367,0.013304,0.013313,0.013305,0.01326,0.013316,0.013298,0,0,0,0,0,0,100
18019,10000,0,1,0.035728,0.035667,0.03548,0.035875,0.035659,0.035704,0.013262,0.013311,0.013281,0.013352,0.013305,0.013352,0,0,0,0,0,0,50
18019,10000,1,0,0.062065,0.062557,0.064621,0.063959,0.062049,0.063942,0.012464,0.012367,0.012434,0.012371,0.012526,0.012364,0,0,0,0,0,0,100
18019,10000,1,0,0.035841,0.036264,0.036611,0.036401,0.036099,0.035846,0.012415,0.01239,0.012393,0.012344,0.012365,0.01234,0,0,0,0,0,0,50
18019,10000,1,1,0.062252,0.063373,0.063994,0.063019,0.062055,0.064434,0.009763,0.009777,0.009749,0.009979,0.009705,0.009962,0,0,0,0,0,0,100
18019,10000,1,1,0.037333,0.036379,0.036625,0.03631,0.037305,0.036593,0.009774,0.009837,0.009822,0.009989,0.00979,0.009831,0,0,0,0,0,0,50
18019,10000,2,0,0.064906,0.063588,0.064394,0.062841,0.062694,0.062572,0.013689,0.013664,0.01363,0.013656,0.013752,0.013651,0,0,0,0,0,0,100
18019,10000,2,0,0.036081,0.037525,0.0359,0.035973,0.037099,0.03693,0.01363,0.013667,0.013636,0.013617,0.013654,0.013677,0,0,0,0,0,0,50
18019,10000,2,1,0.062636,0.062575,0.063963,0.063254,0.06369,0.062718,0.01323,0.01324,0.013293,0.013277,0.014033,0.01327,0,0,0,0,0,0,100
18019,10000,2,1,0.035429,0.035685,0.035457,0.035045,0.035046,0.035095,0.013355,0.013176,0.013235,0.013284,0.013237,0.013253,0,0,0,0,0,0,50
20271,10000,0,0,0.069612,0.069905,0.069736,0.069348,0.070266,0.070254,0.015305,0.015373,0.015353,0.015482,0.015403,0.015525,0,0,0,0,0,0,100
20271,10000,0,0,0.041122,0.040298,0.040106,0.040076,0.041597,0.041176,0.015377,0.015515,0.015357,0.01538,0.01537,0.015345,0,0,0,0,0,0,50
20271,10000,0,1,0.070328,0.069998,0.070677,0.069661,0.072136,0.071377,0.014922,0.014935,0.014936,0.014985,0.015019,0.014971,0,0,0,0,0,0,100
20271,10000,0,1,0.04024,0.039642,0.041131,0.040701,0.0401,0.040668,0.014947,0.014966,0.014908,0.014943,0.015759,0.015085,0,0,0,0,0,0,50
20271,10000,1,0,0.069616,0.070505,0.07066,0.070272,0.07015,0.069783,0.013889,0.013906,0.013976,0.013886,0.013903,0.013886,0,0,0,0,0,0,100
20271,10000,1,0,0.040378,0.03945,0.041359,0.039931,0.040266,0.039996,0.013868,0.014143,0.014028,0.013885,0.013926,0.014039,0,0,0,0,0,0,50
20271,10000,1,1,0.071159,0.070622,0.070967,0.071066,0.073146,0.071325,0.011018,0.010962,0.011145,0.010988,0.010956,0.010993,0,0,0,0,0,0,100
20271,10000,1,1,0.041072,0.040695,0.040285,0.040211,0.039494,0.040098,0.010948,0.01095,0.01098,0.011066,0.01094,0.010972,0,0,0,0,0,0,50
20271,10000,2,0,0.071898,0.07024,0.070286,0.070019,0.070335,0.072219,0.015333,0.015338,0.015357,0.015352,0.015356,0.015351,0,0,0,0,0,0,100
20271,10000,2,0,0.039345,0.040234,0.039702,0.03904,0.039622,0.039934,0.015358,0.015332,0.01531,0.015342,0.015543,0.015349,0,0,0,0,0,0,50
20271,10000,2,1,0.070726,0.071119,0.073671,0.069953,0.071168,0.070291,0.014863,0.014899,0.01487,0.014929,0.01489,0.014888,0,0,0,0,0,0,100
20271,10000,2,1,0.040673,0.039321,0.039119,0.03922,0.039044,0.038975,0.014897,0.014884,0.014936,0.015055,0.014894,0.014919,0,0,0,0,0,0,50
22804,10000,0,0,0.080239,0.079008,0.078188,0.079381,0.078454,0.08023,0.017222,0.017304,0.01724,0.017336,0.017259,0.017291,0,0,0,0,0,0,100
22804,10000,0,0,0.045408,0.044249,0.045184,0.044989,0.044172,0.044175,0.017244,0.017252,0.017223,0.017252,0.017368,0.017315,0,0,0,0,0,0,50
