size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
12656,10000,1,1,0.035052,0.035073,0.035097,0.035095,0.035142,0.03506,0.006849,0.006798,0.006765,0.006809,0.006852,0.006792,0,0,0,0,0,0,50
12656,10000,2,0,0.057228,0.057236,0.057251,0.057261,0.057266,0.057291,0.00953,0.009681,0.009545,0.009543,0.009532,0.009529,0,0,0,0,0,0,100
12656,10000,2,0,0.035454,0.035482,0.035449,0.035462,0.035447,0.035442,0.009567,0.009548,0.009624,0.009527,0.009496,0.009508,0,0,0,0,0,0,50
12656,10000,2,1,0.058077,0.058127,0.058115,0.058078,0.058113,0.058102,0.009278,0.00926,0.009228,0.009263,0.009245,0.009294,0,0,0,0,0,0,100
12656,10000,2,1,0.034321,0.034331,0.034358,0.03432,0.034348,0.03433,0.009306,0.009351,0.009373,0.009281,0.009401,0.009242,0,0,0,0,0,0,50
14238,10000,0,0,0.065216,0.065205,0.065215,0.06521,0.065191,0.065189,0.010705,0.010698,0.010712,0.010738,0.010723,0.010779,0,0,0,0,0,0,100
14238,10000,0,0,0.037937,0.037955,0.037909,0.037932,0.037911,0.037943,0.010709,0.010757,0.010696,0.010713,0.010743,0.010743,0,0,0,0,0,0,50
14238,10000,0,1,0.065248,0.065272,0.065225,0.065287,0.06522,0.065263,0.010405,0.010428,0.010462,0.010436,0.010431,0.0105,0,0,0,0,0,0,100
14238,10000,0,1,0.038291,0.038265,0.038295,0.038277,0.038279,0.038294,0.010449,0.010429,0.010385,0.010443,0.010603,0.010402,0,0,0,0,0,0,50
14238,10000,1,0,0.065222,0.065183,0.065234,0.065178,0.065197,0.06518,0.00967,0.009742,0.009723,0.009661,0.009674,0.009646,0,0,0,0,0,0,100
14238,10000,1,0,0.038781,0.03882,0.038814,0.038828,0.038822,0.038799,0.009727,0.00968,0.00969,0.010086,0.009679,0.009715,0,0,0,0,0,0,50
14238,10000,1,1,0.066012,0.065999,0.065971,0.065951,0.066008,0.06603,0.00765,0.007744,0.007615,0.00777,0.007605,0.007615,0,0,0,0,0,0,100
14238,10000,1,1,0.038417,0.038418,0.038397,0.03839,0.038376,0.038399,0.007659,0.007746,0.00772,0.007606,0.007652,0.007626,0,0,0,0,0,0,50
14238,10000,2,0,0.064336,0.064462,0.064318,0.064328,0.064368,0.064345,0.010706,0.01073,0.010749,0.010706,0.010713,0.010697,0,0,0,0,0,0,100
14238,10000,2,0,0.039067,0.039064,0.039071,0.03909,0.039086,0.039089,0.010786,0.010692,0.010703,0.010743,0.010715,0.010683,0,0,0,0,0,0,50
14238,10000,2,1,0.065004,0.064977,0.064981,0.064998,0.064982,0.065032,0.01044,0.010411,0.010383,0.010392,0.010393,0.010414,0,0,0,0,0,0,100
14238,10000,2,1,0.039687,0.039696,0.039744,0.039726,0.039706,0.039687,0.010426,0.010392,0.010538,0.010444,0.010431,0.010408,0,0,0,0,0,0,50
16017,10000,0,0,0.07358,0.07359,0.073616,0.073609,0.073599,0.073574,0.01202,0.01202,0.012058,0.012026,0.012041,0.012035,0,0,0,0,0,0,100
16017,10000,0,0,0.042313,0.042319,0.042309,0.042318,0.042291,0.042344,0.012096,0.012045,0.012048,0.012064,0.012093,0.012065,0,0,0,0,0,0,50
