uncompressed_size,compressed_size,uncompressed_read,compressed_read,decompress_time,total_decompression,ratio
16384,11752,5.6e-05,1.8e-05,7.1e-05,8.9e-05,0.717285
32768,23371,6.6e-05,4e-05,9.7e-05,0.000137,0.713226
65536,44126,4.6e-05,3.4e-05,0.000133,0.000167,0.673309
131072,88252,5.6e-05,4.6e-05,0.000374,0.00042,0.673309
262144,176792,9.4e-05,0.000118,0.000572,0.00069,0.674408
524288,353999,0.000143,0.000252,0.001097,0.001349,0.6752
1048576,707501,0.000203,0.000386,0.002163,0.002549,0.674726
