size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.034461,0.034463,0.034516,0.03446,0.035077,0.034422,0.007676,0.00771,0.007656,0.007671,0.007687,0.00771,0,0,0,0,0,0,100
10000,10000,0,1,0.021817,0.021823,0.02222,0.021955,0.021848,0.021798,0.007532,0.007452,0.007449,0.007496,0.007495,0.007458,0,0,0,0,0,0,50
10000,10000,1,0,0.03476,0.034719,0.034733,0.034724,0.03527,0.034709,0.006859,0.006944,0.006798,0.006875,0.006875,0.006873,0,0,0,0,0,0,100
10000,10000,1,1,0.022103,0.022377,0.02212,0.022102,0.02229,0.022225,0.005411,0.005456,0.005575,0.005396,0.005402,0.005347,0,0,0,0,0,0,50
10000,10000,2,0,0.034796,0.034903,0.034706,0.034784,0.034708,0.034758,0.007665,0.007651,0.007746,0.007666,0.007685,0.007641,0,0,0,0,0,0,100
10000,10000,2,1,0.021687,0.02166,0.021715,0.021671,0.021645,0.02173,0.00743,0.007439,0.007425,0.007472,0.007408,0.007458,0,0,0,0,0,0,50
10000,10000,0,0,0.034874,0.034916,0.03487,0.035187,0.034845,0.034891,0.007783,0.007654,0.007682,0.007667,0.007676,0.007626,0,0,0,0,0,0,100
10000,10000,0,1,0.02189,0.022247,0.021918,0.021863,0.021891,0.021898,0.0074,0.007564,0.007469,0.007489,0.007458,0.007429,0,0,0,0,0,0,50
10000,10000,1,0,0.034661,0.034643,0.034691,0.034723,0.034672,0.034646,0.00691,0.006905,0.006846,0.006863,0.006873,0.006908,0,0,0,0,0,0,100
10000,10000,1,1,0.022123,0.022091,0.022002,0.021927,0.022756,0.021861,0.005467,0.005387,0.005429,0.005462,0.005411,0.005437,0,0,0,0,0,0,50
10000,10000,2,0,0.034662,0.034606,0.034682,0.034665,0.034654,0.034639,0.007717,0.007674,0.007694,0.007892,0.007691,0.007691,0,0,0,0,0,0,100
10000,10000,2,1,0.021728,0.021783,0.021708,0.021844,0.02176,0.021692,0.007453,0.007442,0.007444,0.007436,0.007416,0.007434,0,0,0,0,0,0,50
11250,10000,0,0,0.038785,0.039025,0.0388,0.038746,0.038829,0.038754,0.008605,0.00863,0.008615,0.008607,0.008638,0.008672,0,0,0,0,0,0,100
11250,10000,0,0,0.024267,0.023614,0.023644,0.024101,0.023614,0.023615,0.008664,0.008623,0.008671,0.008621,0.008626,0.008583,0,0,0,0,0,0,50
11250,10000,0,1,0.03913,0.039745,0.04057,0.039133,0.041254,0.03913,0.008526,0.0084,0.008381,0.008438,0.00848,0.008381,0,0,0,0,0,0,100
