row,size,numberQueries,dataDistribution,compressedTimes,uncompressedTimes,y
126,130000,10000,0,10.0551,9.97209,False
127,130000,10000,1,3.51268,3.48791,False
128,130000,10000,2,10.032,9.98417,False
129,130000,10000,0,10.0425,9.96636,False
130,130000,10000,1,3.42923,3.47518,True
131,130000,10000,2,10.1309,10.0559,False
132,130000,10000,0,10.0512,9.98266,False
133,130000,10000,1,3.45617,3.49924,True
134,130000,10000,2,10.0546,10.1162,True
135,130000,10000,0,10.226,10.1481,False
136,130000,10000,1,3.52541,3.50046,False
137,130000,10000,2,10.0972,10.1923,True
138,130000,10000,0,10.1933,10.2743,True
139,130000,10000,1,3.56831,3.54836,False
140,130000,10000,2,10.0417,10.1654,True
141,130000,10000,0,10.2299,10.2351,True
142,130000,10000,1,3.61907,3.48701,False
143,130000,10000,2,10.2398,10.3342,True
144,130000,10000,0,10.1901,10.2559,True
145,130000,10000,1,3.45286,3.50129,True
146,130000,10000,2,10.1851,10.2157,True
147,130000,10000,0,10.135,10.1978,True
148,130000,10000,1,3.57481,3.53891,False
149,130000,10000,2,10.098,10.2388,True
150,130000,10000,0,10.4473,10.3628,False
151,130000,10000,1,3.5816,3.61201,True
152,130000,10000,2,10.2529,10.1252,False
153,130000,10000,0,10.1461,10.0513,False
154,130000,10000,1,3.50801,3.48449,False
155,130000,10000,2,10.0924,10.0011,False
156,130000,10000,0,10.2182,10.1323,False
157,130000,10000,1,3.61882,3.5778,False
158,130000,10000,2,10.0496,10.1419,True
159,130000,10000,0,9.97832,10.2019,True
160,130000,10000,1,3.48616,3.55823,True
161,130000,10000,2,9.93265,9.99015,True
162,130000,10000,0,9.9361,9.88818,False
163,130000,10000,1,3.52908,3.50366,False
164,130000,10000,2,9.92969,9.97987,True
165,130000,10000,0,10.0335,10.0026,False
166,130000,10000,1,3.44723,3.44073,False
167,130000,10000,2,9.92606,9.9098,False
168,130000,10000,0,9.91904,10.2068,True
169,130000,10000,1,3.56029,3.47254,False
170,130000,10000,2,9.94228,9.85448,False
171,130000,10000,0,9.8842,10.0334,True
172,130000,10000,1,3.47483,3.45441,False
173,130000,10000,2,9.91192,9.93184,True
174,130000,10000,0,9.95713,9.97767,True
175,130000,10000,1,3.44583,3.46658,True
176,130000,10000,2,9.98082,10.1554,True
177,130000,10000,0,10.0476,9.90275,False
178,130000,10000,1,3.44455,3.47683,True
179,130000,10000,2,10.0417,10.1175,True
180,130000,10000,0,9.98915,9.92892,False
181,130000,10000,1,3.46739,3.49786,True
182,130000,10000,2,9.96132,9.95344,False
183,130000,10000,0,9.8834,9.92268,True
184,130000,10000,1,3.47042,3.49662,True
185,130000,10000,2,9.91221,10.0134,True
186,130000,10000,0,9.95781,9.81799,False
187,130000,10000,1,3.40311,3.46261,True
188,130000,10000,2,10.1295,10.0362,False
189,130000,10000,0,10.0706,10.1208,True
190,130000,10000,1,3.50978,3.49325,False
191,130000,10000,2,9.88294,10.124,True
192,130000,10000,0,10.2825,9.93111,False
193,130000,10000,1,3.43309,3.46863,True
194,130000,10000,2,9.92123,10.0136,True
195,130000,10000,0,10.076,9.94626,False
196,130000,10000,1,3.47313,3.43856,False
197,130000,10000,2,9.85699,9.93039,True
198,130000,10000,0,9.84487,9.91164,True
199,130000,10000,1,3.49691,3.41378,False
200,130000,10000,2,9.76905,9.96939,True
201,130000,10000,0,10.2633,9.93541,False
202,130000,10000,1,3.49561,3.5063,True
203,130000,10000,2,9.93492,9.98234,True
204,130000,10000,0,9.95567,9.97713,True
205,130000,10000,1,3.46196,3.62265,True
206,130000,10000,2,10.1798,10.0066,False
207,130000,10000,0,10.2352,10.1913,False
208,130000,10000,1,3.47332,3.47796,True
209,130000,10000,2,9.81534,9.97587,True
210,130000,10000,0,9.98101,9.98999,True
211,130000,10000,1,3.52418,3.48358,False
212,130000,10000,2,9.99211,9.98407,False
213,130000,10000,0,9.94153,9.97636,True
214,130000,10000,1,3.44073,3.48877,True
215,130000,10000,2,9.96477,9.91535,False
216,130000,10000,0,9.98218,10.0945,True
217,130000,10000,1,3.50013,3.51068,True
218,130000,10000,2,10.0273,10.0357,True
219,130000,10000,0,9.93285,10.1406,True
220,130000,10000,1,3.52977,3.45159,False
221,130000,10000,2,10.0237,10.0372,True
222,130000,10000,0,10.0255,10.1042,True
223,130000,10000,1,3.46093,3.49294,True
224,130000,10000,2,10.1025,10.0845,False
225,130000,10000,0,9.98054,9.97382,False
226,130000,10000,1,3.42833,3.47402,True
227,130000,10000,2,9.93736,9.92306,False
228,130000,10000,0,9.95841,10.0366,True
229,130000,10000,1,3.59171,3.46794,False
230,130000,10000,2,9.96743,9.91061,False
231,130000,10000,0,10.0238,9.98315,False
232,130000,10000,1,3.43641,3.49761,True
233,130000,10000,2,10.003,10.0254,True
234,130000,10000,0,10.0076,10.0393,True
235,130000,10000,1,3.51749,3.52027,True
236,130000,10000,2,10.0349,9.96564,False
237,130000,10000,0,10.148,9.91907,False
238,130000,10000,1,3.42489,3.47046,True
239,130000,10000,2,10.0664,10.0166,False
240,130000,10000,0,9.82764,9.84609,True
241,130000,10000,1,3.51961,3.41877,False
242,130000,10000,2,10.0223,9.91358,False
243,130000,10000,0,10.0684,9.88916,False
244,130000,10000,1,3.48065,3.43416,False
245,130000,10000,2,10.0236,10.0263,True
246,130000,10000,0,9.99405,10.0871,True
247,130000,10000,1,3.4168,3.42713,True
248,130000,10000,2,10.0363,10.1578,True
249,130000,10000,0,10.0126,9.90418,False
250,130000,10000,1,3.45049,3.4798,True
251,130000,10000,2,9.96285,9.89818,False
252,130000,10000,0,9.93835,10.0327,True
253,130000,10000,1,3.49715,3.43397,False
254,130000,10000,2,9.87295,10.0998,True
255,130000,10000,0,10.2001,9.99814,False
256,130000,10000,1,3.51605,3.50311,False
257,130000,10000,2,9.95822,9.9449,False
258,130000,10000,0,10.079,10.0054,False
259,130000,10000,1,3.48804,3.4571,False
260,130000,10000,2,10.0242,9.97832,False
261,130000,10000,0,10.0541,9.92734,False
262,130000,10000,1,3.45557,3.44456,False
263,130000,10000,2,10.0382,9.87552,False
264,130000,10000,0,10.1184,10.0748,False
265,130000,10000,1,3.49035,3.56154,True
266,130000,10000,2,9.97155,9.91242,False
267,130000,10000,0,10.0353,9.87743,False
268,130000,10000,1,3.47925,3.46988,False
269,130000,10000,2,9.97134,9.97474,True
270,130000,10000,0,10.1028,10.2461,True
271,130000,10000,1,3.4479,3.47213,True
272,130000,10000,2,10.2212,10.2248,True
273,130000,10000,0,10.5452,10.2418,False
274,130000,10000,1,3.56904,3.54794,False
