keyDistribution,valueDistribution,load_times,query_times,sizes,leniency
0,0,0.529485,0.002084,10040828,1
0,0,0.59222,0.002355,0,1.3
0,0,0.57737,0.002157,0,1.6
0,0,0.57971,0.002242,0,1.9
0,0,0.538458,0.002159,0,2.2
0,0,0.544835,0.002361,0,2.5
0,0,0.589404,0.002338,0,2.8
0,0,0.577422,0.002271,0,3.1
0,0,0.574798,0.002057,0,3.4
0,0,0.58597,0.002151,0,3.7
0,0,0.552017,0.002122,0,4.0
0,1,0.582919,0.002169,580996,1
0,1,0.566096,0.002114,580996,1.3
0,1,0.587498,0.002364,580996,1.6
0,1,0.62992,0.002404,580996,1.9
0,1,0.568876,0.002349,580996,2.2
0,1,0.59948,0.002945,580996,2.5
0,1,0.588572,0.00242,580996,2.8
0,1,0.568232,0.002658,580996,3.1
0,1,0.612183,0.002626,580996,3.4
0,1,0.569416,0.002558,580996,3.7
0,1,0.577035,0.002495,580996,4.0
1,0,0.552946,0.002248,0,1
1,0,0.543181,0.002161,0,1.3
1,0,0.559298,0.002525,0,1.6
1,0,0.549423,0.002143,0,1.9
1,0,0.548819,0.002558,0,2.2
1,0,0.560734,0.002516,0,2.5
1,0,0.546508,0.002327,0,2.8
1,0,0.562316,0.002384,0,3.1
1,0,0.54415,0.002199,0,3.4
1,0,0.564119,0.002359,0,3.7
1,0,0.5662,0.002103,0,4.0
1,1,0.504473,0.001654,80,1
1,1,0.538877,0.001665,80,1.3
1,1,0.544172,0.001561,80,1.6
1,1,0.494547,0.001857,80,1.9
1,1,0.49869,0.001543,80,2.2
1,1,0.524122,0.002057,80,2.5
1,1,0.496779,0.002216,80,2.8
1,1,0.512621,0.001988,80,3.1
1,1,0.520194,0.001749,80,3.4
1,1,0.52415,0.001443,80,3.7
1,1,0.512725,0.001782,80,4.0
2,0,0.651132,0.002945,0,1
2,0,0.635621,0.002263,0,1.3
2,0,0.661508,0.002905,0,1.6
2,0,0.653823,0.002188,0,1.9
2,0,0.671825,0.002365,0,2.2
2,0,0.641768,0.002186,0,2.5
2,0,0.658878,0.002544,0,2.8
2,0,0.652189,0.00254,0,3.1
2,0,0.644105,0.00249,0,3.4
2,0,0.65832,0.002189,0,3.7
2,0,0.684561,0.002547,0,4.0
2,1,0.668236,0.002188,541336,1
2,1,0.667054,0.00278,541336,1.3
2,1,0.66346,0.002547,541336,1.6
2,1,0.688776,0.00275,541336,1.9
2,1,0.668749,0.002868,541336,2.2
2,1,0.671733,0.002522,541336,2.5
2,1,0.663068,0.002994,541336,2.8
2,1,0.67137,0.002665,541336,3.1
2,1,0.666537,0.002428,541336,3.4
2,1,0.68941,0.002835,541336,3.7
2,1,0.6823,0.002621,541336,4.0
keyDistribution,valueDistribution,load_times,query_times,sizes,leniency
0,0,0.538964,0.002316,1310720,1
0,0,0.587247,0.002605,1310720,1.3
0,0,0.626201,0.002457,1310720,1.6
0,0,0.607384,0.002469,1310720,1.9
0,0,0.583516,0.002239,1310720,2.2
0,0,0.555033,0.002275,1310720,2.5
0,0,0.575812,0.002927,1310720,2.8
0,0,0.646432,0.002389,1310720,3.1
0,0,0.583269,0.002188,1310720,3.4
0,0,0.559773,0.002403,1310720,3.7
0,0,0.568881,0.002619,1310720,4.0
0,1,0.583543,0.002542,580800,1
0,1,0.60746,0.00324,580800,1.3
0,1,0.649424,0.00285,580800,1.6
0,1,0.69091,0.002754,580800,1.9
0,1,0.609025,0.002546,580800,2.2
0,1,0.626571,0.002218,580800,2.5
0,1,0.61098,0.002848,580800,2.8
0,1,0.586914,0.002682,580800,3.1
0,1,0.577522,0.002332,580800,3.4
0,1,0.578336,0.003085,580800,3.7
0,1,0.658794,0.003182,580800,4.0
1,0,0.541768,0.00214,1310720,1
1,0,0.521643,0.002378,1310720,1.3
1,0,0.53695,0.002179,1310720,1.6
1,0,0.539938,0.002565,1310720,1.9
1,0,0.504635,0.002391,1310720,2.2
1,0,0.490757,0.002698,1310720,2.5
1,0,0.493296,0.002496,1310720,2.8
1,0,0.544493,0.002445,1310720,3.1
1,0,0.529682,0.002467,1310720,3.4
1,0,0.572706,0.002209,1310720,3.7
1,0,0.517606,0.002514,1310720,4.0
1,1,0.517556,0.001599,80,1
1,1,0.501954,0.001609,80,1.3
1,1,0.508226,0.001632,80,1.6
1,1,0.513592,0.001653,80,1.9
1,1,0.474976,0.001552,80,2.2
1,1,0.509455,0.001649,80,2.5
1,1,0.496174,0.001582,80,2.8
1,1,0.619875,0.001602,80,3.1
1,1,0.601269,0.001545,80,3.4
1,1,0.687215,0.001953,80,3.7
1,1,0.692355,0.001762,80,4.0
2,0,0.659244,0.002439,1310720,1
2,0,0.655769,0.00257,1310720,1.3
2,0,0.659181,0.002873,1310720,1.6
2,0,0.690466,0.0024,1310720,1.9
2,0,0.792435,0.003093,1310720,2.2
2,0,0.708725,0.002602,1310720,2.5
2,0,0.686919,0.002623,1310720,2.8
2,0,0.710125,0.002532,1310720,3.1
2,0,0.686467,0.002615,1310720,3.4
2,0,0.689367,0.002991,1310720,3.7
2,0,0.656997,0.002662,1310720,4.0
2,1,0.648039,0.002603,541208,1
2,1,0.643203,0.002491,541208,1.3
2,1,0.648239,0.002494,541208,1.6
2,1,0.676737,0.003127,541208,1.9
2,1,0.709554,0.003097,541208,2.2
2,1,0.695356,0.003284,541208,2.5
2,1,0.705818,0.002608,541208,2.8
2,1,0.671351,0.002306,541208,3.1
2,1,0.671717,0.00237,541208,3.4
2,1,0.682389,0.002426,541208,3.7
2,1,0.699826,0.002689,541208,4.0
