uncompressed_size,compressed_size,uncompressed_read,compressed_read,decompress_time,total_decompression,ratio
16384,8078,6.1e-05,2.7e-05,4.6e-05,7.3e-05,0.493042
32768,16096,7.5e-05,2.1e-05,8.3e-05,0.000104,0.491211
65536,32150,4.6e-05,3.6e-05,0.000271,0.000307,0.49057
131072,64361,5.7e-05,5.8e-05,0.000338,0.000396,0.491035
262144,128534,0.000123,6.6e-05,0.00064,0.000706,0.490318
524288,257419,0.000151,0.00017,0.001299,0.001469,0.490988
1048576,514808,0.000273,0.000275,0.00205,0.002325,0.490959
