,size,numberQueries,dataDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes,readPercentage
0,10000,10000,0,0.034772,0.034774,0.034751,0.034735,0.007664,0.007644,0.00767,0.007678,0,0,0,0,100
1,10000,10000,1,0.034781,0.034729,0.034777,0.03479,0.006931,0.006983,0.006811,0.006894,0,0,0,0,100
2,10000,10000,2,0.034697,0.034597,0.034606,0.034589,0.007731,0.007694,0.007657,0.007797,0,0,0,0,100
3,10000,10000,0,0.021625,0.021779,0.021952,0.021575,0.007678,0.007699,0.007672,0.007606,0,0,0,0,50
4,10000,10000,1,0.022325,0.022132,0.022141,0.022119,0.006774,0.006868,0.006883,0.006799,0,0,0,0,50
5,1000,10000,2,0.006385,0.006428,0.006408,0.006399,0.000762,0.000764,0.000763,0.000766,0,0,0,0,50
