uncompressed_size,compressed_size,uncompressed_read,compressed_read,decompress_time,total_decompression,ratio
16384,5342,4.2e-05,1.3e-05,5.6e-05,6.9e-05,0.32605
32768,10378,6.1e-05,1.2e-05,4.8e-05,6e-05,0.316711
65536,21248,4.1e-05,2.4e-05,0.000171,0.000195,0.324219
131072,42358,5.3e-05,3.7e-05,0.000261,0.000298,0.323166
262144,85141,7.5e-05,5.9e-05,0.000433,0.000492,0.324787
524288,169930,0.000139,7.8e-05,0.000798,0.000876,0.324116
1048576,340250,0.000265,0.000222,0.00171,0.001932,0.324488
