,size,numberQueries,dataDistribution,snappy_times,simd_times,rle_times,uncompressed_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes
0,10000,10000,0,0.046409,0.046316,0.046405,0.046367,0,0,0,0
1,10000,10000,1,0.045886,0.045775,0.045817,0.045729,0,0,0,0
2,10000,10000,2,0.046268,0.046255,0.046221,0.046238,0,0,0,0
3,11250,10000,0,0.052315,0.051484,0.05147,0.051479,0,0,0,0
4,11250,10000,1,0.051492,0.051605,0.051634,0.051533,0,0,0,0
5,11250,10000,2,0.051203,0.051199,0.051344,0.051273,0,0,0,0
6,12656,10000,0,0.058165,0.058166,0.058286,0.058241,0,0,0,0
7,12656,10000,1,0.057642,0.057625,0.05764,0.057616,0,0,0,0
8,12656,10000,2,0.057729,0.057682,0.057806,0.057743,0,0,0,0
9,14238,10000,0,0.065695,0.06565,0.06569,0.065668,0,0,0,0
10,14238,10000,1,0.065337,0.065311,0.06532,0.065407,0,0,0,0
11,14238,10000,2,0.06481,0.064808,0.064808,0.064837,0,0,0,0
12,16017,10000,0,0.073261,0.073225,0.073349,0.07322,0,0,0,0
13,16017,10000,1,0.072876,0.073275,0.072918,0.072959,0,0,0,0
14,16017,10000,2,0.074157,0.073956,0.074032,0.073982,0,0,0,0
15,18019,10000,0,0.479617,1.35459,0.997909,0.383654,131081,59676,131072,131072
16,18019,10000,1,0.479402,1.11879,1.05751,0.38108,131080,4368,8,131072
17,18019,10000,2,0.485075,1.41538,0.994925,0.380155,131081,55708,131072,131072
18,20271,10000,0,0.449909,1.22405,0.903416,0.357691,131081,59660,131072,131072
19,20271,10000,1,0.443252,1.00962,0.955719,0.35389,131080,4368,8,131072
20,20271,10000,2,0.444588,1.21541,0.895501,0.35648,131081,55724,131072,131072
21,22804,10000,0,0.417125,1.13572,0.821482,0.336731,131081,59628,131072,131072
22,22804,10000,1,0.424266,0.932297,0.880715,0.339285,131080,4368,8,131072
23,22804,10000,2,0.424796,1.16413,0.826274,0.339755,131081,55824,131072,131072
24,25654,10000,0,0.405597,1.04704,0.7628,0.332305,131081,59740,131072,131072
25,25654,10000,1,0.401619,0.850999,0.808921,0.325557,131080,4368,8,131072
26,25654,10000,2,0.403083,1.02025,0.764547,0.331381,131081,55756,131072,131072
27,28860,10000,0,0.391524,0.947608,0.719874,0.329545,131081,59692,131072,131072
28,28860,10000,1,0.384572,0.785783,0.748933,0.321897,131080,4368,8,131072
29,28860,10000,2,0.388779,0.974839,0.707453,0.319334,131081,55788,131072,131072
30,32467,10000,0,0.3794,0.87594,0.669306,0.325546,131081,59660,131072,131072
31,32467,10000,1,0.37494,0.733217,0.700659,0.32057,131080,4368,8,131072
32,32467,10000,2,0.373057,0.889635,0.656186,0.316763,131081,55624,131072,131072
33,36525,10000,0,0.523431,1.38241,1.02433,0.418563,262162,119432,262144,262144
34,36525,10000,1,0.520198,1.15684,1.10495,0.421118,262161,8748,16,262144
35,36525,10000,2,0.530666,1.39374,1.03076,0.420595,262162,111580,262144,262144
36,41090,10000,0,0.511319,1.28454,0.963914,0.420191,262162,119412,262144,262144
37,41090,10000,1,0.500019,1.06335,1.00677,0.4152,262161,8748,16,262144
38,41090,10000,2,0.511616,1.34007,0.965243,0.425372,262162,111316,262144,262144
